pair_id,split,label,pair_type,mutation,first_document_id,second_document_id,first_topic,second_topic,first_text,second_text
train-00011,train,1,near_duplicate,case_punctuation,doc-0069,doc-0069-variant,sports,sports,Nach einer Verletzung wird die Belastung langsam wieder erhöht. Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Messbare Zwischenziele machen Fortschritte besser sichtbar. Gemeinsame Ziele stärken die Motivation innerhalb der Gruppe. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern. Fairness bleibt auch in einer engen Wettbewerbssituation wichtig. Das Team analysiert nach dem Spiel erfolgreiche und schwache Situationen. Krafttraining ergänzt viele Ausdauersportarten sinnvoll.,nach einer verletzung wird die belastung langsam wieder erhöht. der trainer passt die belastung an den aktuellen leistungsstand an. messbare zwischenziele machen fortschritte besser sichtbar. gemeinsame ziele stärken die motivation innerhalb der gruppe. die läuferin kontrolliert ihr tempo auf den ersten kilometern. fairness bleibt auch in einer engen wettbewerbssituation wichtig. das team analysiert nach dem spiel erfolgreiche und schwache situationen. krafttraining ergänzt viele ausdauersportarten sinnvoll.
train-00012,train,1,near_duplicate,combined_light,doc-0034,doc-0034-variant,health,health,"Soziale Kontakte wirken sich positiv auf das Wohlbefinden aus. Entspannungstechniken können den Umgang mit Stress erleichtern. Eine ausgewogene Mahlzeit enthält Gemüse, Eiweiß und komplexe Kohlenhydrate. Ein realistischer Trainingsplan verhindert unnötige Überlastung. Bei starken oder anhaltenden Symptomen ist professionelle Beratung notwendig. Die Ärztin erklärt die Wirkung und mögliche Nebenwirkungen des Medikaments. Eine gute Körperhaltung entlastet Rücken und Schultern. Viele Beschwerden lassen sich durch frühe Untersuchung besser behandeln. Regelmäßige Bewegung stärkt den Kreislauf und verbessert die Ausdauer.","Soziale Kontakte wirken sich positiv auf das Wohlbefinden aus. Entspannungstechniken können den Umgang mit erleichtern. Eine ausgewogene Mahlzeit enthält Gemüse, Eiweiß und komplexe Kohlenhydrate. Ein Trainingsplan verhindert unnötige Überlastung. Die Ärztin erklärt die Wirkung und mögliche Nebenwirkungen des Medikaments. Bei starken oder anhaltenden Symptomen ist professionelle Beratung notwendig. Eine gute Körperhaltung entlastet Rücken und Schultern. Viele Beschwerden lassen sich durch frühe Untersuchung besser behandeln. Regelmäßige Bewegung stärkt den Kreislauf und die Ausdauer."
train-00013,train,1,near_duplicate,replace_words,doc-0004,doc-0004-variant,health,health,"Eine ausgewogene Mahlzeit enthält Gemüse, Eiweiß und komplexe Kohlenhydrate. Ausreichender Schlaf unterstützt Konzentration und Erholung. Sauberes Trinkwasser ist eine wichtige Grundlage der Gesundheit. Ein realistischer Trainingsplan verhindert unnötige Überlastung. Viele Beschwerden lassen sich durch frühe Untersuchung besser behandeln. Kleine Gewohnheiten sind oft leichter dauerhaft umzusetzen. Regelmäßige Bewegung stärkt den Kreislauf und verbessert die Ausdauer. Gesundheitsdaten sollten vertraulich und nachvollziehbar verarbeitet werden.","Eine ausgewogene Mahlzeit enthält Gemüse, Eiweiß und komplexe Kohlenhydrate. Ausreichender Schlaf unterstützt Konzentration und Erholung. Sauberes Trinkwasser ist eine wichtige Grundlage der Gesundheit. Ein realistischer Trainingsplan verhindert unnötige Überlastung. Viele Beschwerden lassen sich durch frühe Untersuchung besser behandeln. Kompakte Gewohnheiten sind oft leichter dauerhaft umzusetzen. Regelmäßige Bewegung stärkt den Kreislauf und steigert die Ausdauer. Gesundheitsdaten sollten vertraulich und nachvollziehbar verarbeitet werden."
train-00014,train,0,hard_negative_same_topic,none,doc-0006,doc-0036,work,work,Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Das Team bespricht am Morgen die wichtigsten Aufgaben des Tages. Regelmäßige Gespräche verbessern die Zusammenarbeit im Team. Ein kurzes Protokoll hält Entscheidungen und offene Punkte fest. Klare Zuständigkeiten verhindern doppelte Arbeit. Eine realistische Planung berücksichtigt auch unerwartete Probleme.,Eine realistische Planung berücksichtigt auch unerwartete Probleme. Automatisierung reduziert wiederkehrende manuelle Tätigkeiten. Ein kurzes Protokoll hält Entscheidungen und offene Punkte fest. Neue Mitarbeitende erhalten eine strukturierte Einführung. Die Qualität eines Ergebnisses wird anhand vorher definierter Kriterien geprüft. Ein ruhiger Arbeitsplatz unterstützt konzentriertes Arbeiten.
train-00015,train,1,near_duplicate,reorder_sentences,doc-0050,doc-0050-variant,daily_life,daily_life,Gemeinsame Mahlzeiten bieten Zeit für ruhige Gespräche. Die Familie plant die Einkäufe für die gesamte Woche. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Am Wochenende wird das Fahrrad gründlich gereinigt. Eine Erinnerung im Kalender hilft bei wichtigen Terminen. Nach dem Essen wird die Küche gemeinsam aufgeräumt.,Gemeinsame Mahlzeiten bieten Zeit für ruhige Gespräche. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Die Familie plant die Einkäufe für die gesamte Woche. Am Wochenende wird das Fahrrad gründlich gereinigt. Eine Erinnerung im Kalender hilft bei wichtigen Terminen. Nach dem Essen wird die Küche gemeinsam aufgeräumt.
train-00016,train,0,hard_negative_same_topic,none,doc-0021,doc-0061,education,education,"Regelmäßige Wiederholung verbessert die langfristige Erinnerung. Fehler werden nicht bestraft, sondern als Hinweis für die nächste Übung genutzt. Viele Lernende profitieren von kleinen und erreichbaren Zwischenzielen. Die Auswertung unterscheidet zwischen Erkennen und selbstständigem Anwenden. Ein strukturierter Lernplan reduziert unnötige Wiederholungen. Kurze Tests zeigen, welche Begriffe noch unsicher sind. Die Lernplattform passt die Schwierigkeit an die bisherigen Antworten an. Neue Aufgaben sollten bekannte Inhalte in einem anderen Kontext prüfen. Digitale Übungen können den individuellen Lernfortschritt sichtbar machen.",Die Lernenden wiederholen neue Wörter in kurzen Abständen. Das aktive Abrufen ist oft wirksamer als das bloße Lesen. Die Lehrkraft verbindet Grammatik mit konkreten Alltagssituationen. Viele Lernende profitieren von kleinen und erreichbaren Zwischenzielen. Eine klare Rückmeldung hilft beim Korrigieren typischer Fehler. Die Auswertung unterscheidet zwischen Erkennen und selbstständigem Anwenden. Die Lernplattform passt die Schwierigkeit an die bisherigen Antworten an. Die Gruppe diskutiert verschiedene Lösungen und begründet ihre Wahl.
train-00017,train,0,hard_negative_same_topic,none,doc-0129,doc-0159,sports,sports,Eine ausgewogene Ernährung unterstützt Training und Regeneration. Ausdauer entsteht durch langfristiges und gleichmäßiges Training. Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Die Mannschaft beginnt das Training mit einer gründlichen Aufwärmphase. Eine saubere Technik reduziert das Risiko unnötiger Verletzungen. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern.,Kurze intensive Einheiten benötigen ausreichende Erholung. Gemeinsame Ziele stärken die Motivation innerhalb der Gruppe. Der Trainer passt die Belastung an den aktuellen Leistungsstand an. Der Verein bietet Anfängerinnen und Anfängern eigene Trainingszeiten an. Eine saubere Technik reduziert das Risiko unnötiger Verletzungen. Eine ausgewogene Ernährung unterstützt Training und Regeneration. Die Läuferin kontrolliert ihr Tempo auf den ersten Kilometern. Messbare Zwischenziele machen Fortschritte besser sichtbar. Regelmäßiges Üben verbessert Koordination und Reaktionsfähigkeit.
train-00018,train,0,hard_negative_same_topic,none,doc-0050,doc-0170,daily_life,daily_life,Gemeinsame Mahlzeiten bieten Zeit für ruhige Gespräche. Die Familie plant die Einkäufe für die gesamte Woche. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Am Wochenende wird das Fahrrad gründlich gereinigt. Eine Erinnerung im Kalender hilft bei wichtigen Terminen. Nach dem Essen wird die Küche gemeinsam aufgeräumt.,Eine Einkaufsliste verhindert unnötige spontane Käufe. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Die Familie plant die Einkäufe für die gesamte Woche. Eine Erinnerung im Kalender hilft bei wichtigen Terminen. Am Morgen öffnet die Bäckerei bereits vor sieben Uhr. Nach dem Essen wird die Küche gemeinsam aufgeräumt. Die Nachbarn teilen sich einige selten benötigte Werkzeuge.
train-00019,train,1,near_duplicate,case_punctuation,doc-0152,doc-0152-variant,technology,technology,"Ein Cache verkürzt die Antwortzeit bei häufigen Abfragen. Das Entwicklungsteam überwacht die Anwendung mit automatisierten Metriken. Der Dienst verarbeitet viele kleine Anfragen parallel. Automatisierte Tests prüfen zentrale Funktionen vor jeder Veröffentlichung. Große Datenmengen werden schrittweise statt vollständig im Speicher verarbeitet. Ein Versionssystem dokumentiert jede Änderung am Quellcode. Ein klarer Vertrag zwischen Modulen verhindert unnötige Abhängigkeiten. Messwerte zeigen, an welcher Stelle die meiste Zeit verloren geht. Die Konfiguration wird getrennt vom Programmcode verwaltet.",ein cache verkürzt die antwortzeit bei häufigen abfragen. das entwicklungsteam überwacht die anwendung mit automatisierten metriken. der dienst verarbeitet viele kleine anfragen parallel. automatisierte tests prüfen zentrale funktionen vor jeder veröffentlichung. große datenmengen werden schrittweise statt vollständig im speicher verarbeitet. ein versionssystem dokumentiert jede änderung am quellcode. ein klarer vertrag zwischen modulen verhindert unnötige abhängigkeiten. messwerte zeigen an welcher stelle die meiste zeit verloren geht. die konfiguration wird getrennt vom programmcode verwaltet.
train-00020,train,0,hard_negative_same_topic,none,doc-0110,doc-0020,daily_life,daily_life,Ein einfacher Wochenplan verteilt Aufgaben übersichtlich. Am Morgen öffnet die Bäckerei bereits vor sieben Uhr. Ein fester Platz für Schlüssel spart täglich Zeit. Das Paket kann am Abend in einer Abholstation abgeholt werden. Der Bus fährt werktags alle zehn Minuten. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert.,Ein einfacher Wochenplan verteilt Aufgaben übersichtlich. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Die Nachbarn teilen sich einige selten benötigte Werkzeuge. Die Kinder bereiten ihre Schulsachen am Vorabend vor. Gemeinsame Mahlzeiten bieten Zeit für ruhige Gespräche. Die Familie plant die Einkäufe für die gesamte Woche. Nach dem Essen wird die Küche gemeinsam aufgeräumt. Ein fester Platz für Schlüssel spart täglich Zeit.
train-00021,train,0,easy_negative_different_topic,none,doc-0067,doc-0015,science,travel,"Ein Kontrollversuch hilft bei der Interpretation des Ergebnisses. Das Experiment wird unter denselben Bedingungen mehrfach wiederholt. Eine Hypothese muss durch beobachtbare Daten überprüfbar sein. Die Genauigkeit steigt häufig mit der Zahl sauberer Beobachtungen. Die Methode wird so beschrieben, dass andere sie nachvollziehen können. Unsicherheit wird zusammen mit dem Messwert angegeben.",Ein kleiner Rucksack erleichtert den Wechsel zwischen mehreren Verkehrsmitteln. Eine digitale Karte funktioniert auch ohne aktive Internetverbindung. Der Zug erreicht den Hauptbahnhof am frühen Nachmittag. Am Abend besuchen die Gäste ein kleines Konzert im Freien. Die Gruppe plant genügend Zeit für unerwartete Verzögerungen ein. Lokale Märkte bieten regionale Speisen und handwerkliche Produkte. Eine Reservierung ist in der Hauptsaison oft sinnvoll. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Das Wetter kann sich in den Bergen innerhalb kurzer Zeit ändern.
train-00022,train,1,near_duplicate,combined_light,doc-0128,doc-0128-variant,culture,culture,"Die Besucher diskutieren nach der Vorstellung über ihre Eindrücke. Lokale Musikgruppen treten auf einem kleinen Stadtfest auf. Eine Führung erklärt die Entstehung ausgewählter Bilder. Kulturelle Angebote schaffen Räume für gemeinsame Erfahrungen. Die Gestaltung eines öffentlichen Platzes prägt das Leben im Viertel. Ein Film kann historische Ereignisse aus persönlicher Perspektive erzählen. Traditionen verändern sich, wenn neue Generationen sie weiterentwickeln. Das Theater verbindet klassische Texte mit moderner Bühnentechnik. Die Ausstellung stellt verschiedene Sichtweisen nebeneinander.","Lokale Musikgruppen treten auf einem kleinen Stadtfest auf. Die Besucher diskutieren nach der Vorstellung über ihre Eindrücke. Eine Führung erklärt die Entstehung ausgewählter Bilder. Kulturelle Angebote schaffen Räume für gemeinsame Erfahrungen. Die Gestaltung eines öffentlichen Platzes prägt das Leben im Viertel. Ein Film kann historische Ereignisse aus persönlicher Perspektive erzählen. verändern sich, wenn aktuelle Generationen sie weiterentwickeln. Das Theater verbindet klassische Texte mit Bühnentechnik. Die Ausstellung stellt unterschiedliche Sichtweisen nebeneinander."
train-00023,train,0,hard_negative_same_topic,none,doc-0095,doc-0065,travel,travel,Mit einer Tageskarte lassen sich Busse und Bahnen flexibel nutzen. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Der Zug erreicht den Hauptbahnhof am frühen Nachmittag. Eine Reiseversicherung deckt bestimmte unvorhergesehene Kosten ab. Reisende prüfen vor der Abfahrt die aktuelle Verbindung. Eine digitale Karte funktioniert auch ohne aktive Internetverbindung. Eine Reservierung ist in der Hauptsaison oft sinnvoll. Das Wetter kann sich in den Bergen innerhalb kurzer Zeit ändern. Die Gruppe plant genügend Zeit für unerwartete Verzögerungen ein.,Eine Reiseversicherung deckt bestimmte unvorhergesehene Kosten ab. Die Wanderroute führt durch einen ruhigen Wald und entlang eines Sees. Ein kleiner Rucksack erleichtert den Wechsel zwischen mehreren Verkehrsmitteln. Lokale Märkte bieten regionale Speisen und handwerkliche Produkte. Am Abend besuchen die Gäste ein kleines Konzert im Freien. Der Reiseführer erklärt die Geschichte der wichtigsten Gebäude. Mit einer Tageskarte lassen sich Busse und Bahnen flexibel nutzen. Eine digitale Karte funktioniert auch ohne aktive Internetverbindung. Die Gruppe plant genügend Zeit für unerwartete Verzögerungen ein.
train-00024,train,0,hard_negative_same_topic,none,doc-0072,doc-0122,technology,technology,Die Anwendung kann einzelne Module unabhängig aktualisieren. Protokolle helfen bei der Suche nach seltenen Fehlern. Die Daten werden verschlüsselt übertragen und nur kurz zwischengespeichert. Eine stabile Schnittstelle erleichtert die Integration neuer Komponenten. Der Dienst verarbeitet viele kleine Anfragen parallel. Automatisierte Tests prüfen zentrale Funktionen vor jeder Veröffentlichung. Die Architektur trennt Geschäftslogik und Benutzerschnittstelle.,"Die Architektur trennt Geschäftslogik und Benutzerschnittstelle. Ein Versionssystem dokumentiert jede Änderung am Quellcode. Ein klarer Vertrag zwischen Modulen verhindert unnötige Abhängigkeiten. Messwerte zeigen, an welcher Stelle die meiste Zeit verloren geht. Protokolle helfen bei der Suche nach seltenen Fehlern. Eine Warteschlange entkoppelt langsame Hintergrundaufgaben. Automatisierte Tests prüfen zentrale Funktionen vor jeder Veröffentlichung. Der Dienst verarbeitet viele kleine Anfragen parallel."
train-00025,train,1,near_duplicate,combined_light,doc-0068,doc-0068-variant,culture,culture,"Ein Film kann historische Ereignisse aus persönlicher Perspektive erzählen. Ein Archiv bewahrt Briefe, Fotos und andere historische Quellen. Literatur kann gesellschaftliche Konflikte aus ungewohnter Sicht zeigen. Die Gestaltung eines öffentlichen Platzes prägt das Leben im Viertel. Die Bibliothek organisiert regelmäßig Lesungen und Gespräche. Die Ausstellung stellt verschiedene Sichtweisen nebeneinander. Eine Führung erklärt die Entstehung ausgewählter Bilder. Lokale Musikgruppen treten auf einem kleinen Stadtfest auf. Kulturelle Angebote schaffen Räume für gemeinsame Erfahrungen.","Ein Film kann historische aus persönlicher Perspektive erzählen. Literatur kann gesellschaftliche Konflikte aus ungewohnter Sicht zeigen. Ein Archiv bewahrt Briefe, Fotos und andere historische Quellen. Die Gestaltung eines öffentlichen Platzes prägt das Leben im Viertel. Die Bibliothek organisiert häufig und Gespräche. Die Ausstellung stellt unterschiedliche Sichtweisen nebeneinander. Eine Führung erklärt die Entstehung ausgewählter Bilder. Lokale Musikgruppen treten auf einem kleinen Stadtfest auf. Kulturelle Angebote schaffen Räume für gemeinsame Erfahrungen."
train-00026,train,1,near_duplicate,delete_words,doc-0005,doc-0005-variant,travel,travel,Mit einer Tageskarte lassen sich Busse und Bahnen flexibel nutzen. Das Hotel liegt in der Nähe des historischen Stadtzentrums. Ein kleiner Rucksack erleichtert den Wechsel zwischen mehreren Verkehrsmitteln. Reisende prüfen vor der Abfahrt die aktuelle Verbindung. Am Abend besuchen die Gäste ein kleines Konzert im Freien. Die Gruppe plant genügend Zeit für unerwartete Verzögerungen ein. Eine Reiseversicherung deckt bestimmte unvorhergesehene Kosten ab.,Mit einer Tageskarte lassen sich Busse und Bahnen nutzen. Das Hotel liegt in der Nähe des historischen Stadtzentrums. Ein kleiner Rucksack erleichtert den Wechsel zwischen mehreren Reisende prüfen vor der Abfahrt die aktuelle Verbindung. Am Abend besuchen die Gäste ein kleines Konzert im Freien. Die plant genügend Zeit für unerwartete Verzögerungen ein. Eine Reiseversicherung deckt bestimmte unvorhergesehene Kosten ab.
train-00027,train,1,near_duplicate,delete_words,doc-0020,doc-0020-variant,daily_life,daily_life,Ein einfacher Wochenplan verteilt Aufgaben übersichtlich. Vor dem Urlaub werden Fenster und elektrische Geräte kontrolliert. Die Nachbarn teilen sich einige selten benötigte Werkzeuge. Die Kinder bereiten ihre Schulsachen am Vorabend vor. Gemeinsame Mahlzeiten bieten Zeit für ruhige Gespräche. Die Familie plant die Einkäufe für die gesamte Woche. Nach dem Essen wird die Küche gemeinsam aufgeräumt. Ein fester Platz für Schlüssel spart täglich Zeit.,Ein Wochenplan verteilt Aufgaben übersichtlich. Vor dem Urlaub werden Fenster und elektrische Geräte Die Nachbarn teilen sich einige selten benötigte Werkzeuge. Die Kinder bereiten ihre Schulsachen am Vorabend vor. Gemeinsame Mahlzeiten bieten Zeit für ruhige Gespräche. Die Familie plant die Einkäufe für die Woche. Nach dem Essen wird die Küche gemeinsam aufgeräumt. Ein fester Platz für Schlüssel spart täglich Zeit.
